Success,Acceptable Rate 99%  Unacceptable Rate 97%
1,-0.018
1,-0.036
0,0.946
1,0.928
1,0.91
1,0.892
1,0.874
1,0.856
1,0.838
1,0.82
1,0.802
0,1.784
1,1.766
1,1.744
1,1.73
1,1.712
1,1.694
1,1.676
1,1.658
0,2.64
1,2.622
1,2.604
1,2.586
1,2.568
1,2.55
1,2.532
1,2.514
1,2.496
1,2.478
1,2.46
1,2.442
1,2.424
1,2.406
34,2.388
35,2.37
36,2.352
1,2.334
1,2.316
1,2.298
0,3.28
1,3.262
1,3.244
1,3.226
1,3.208
1,3.19
1,3.172
0,4.154
1,4.136
1,4.118
1,4.1
0,5.082
1,5.064
1,5.046
1,5.028
1,5.01
1,4.992
1,4.974
1,4.956
1,4.938
1,4.92
1,4.902
1,4.884
1,4.866
1,4.848
1,4.83
1,4.812
1,4.794
1,4.776
1,4.758
1,4.74
1,4.722
1,4.704
1,4.686
1,4.668
1,4.65
1,4.632
1,4.614
1,4.596
1,4.578
1,4.56
1,4.542
1,4.524
1,4.506
1,4.488
1,4.47
1,4.452
1,4.434
1,4.416
1,4.398
1,4.38
1,4.362
1,4.344
1,4.326
1,4.308
1,4.29
1,4.272
1,4.254
1,4.236
1,4.218
1,4.2
1,4.182
1,4.164
1,4.146
1,4.128
1,4.11
1,4.092
1,4.074
1,4.056
1,4.038
1,4.02
1,4.002
1,3.984
1,3.966
1,3.948
1,3.93
1,3.912
1,3.894
1,3.876
1,3.858
1,3.84
1,3.822
1,3.804
1,3.786
1,3.768
1,3.75
1,3.732
1,3.714
1,3.696
1,3.678
1,3.66
1,3.624
1,3.606
1,3.588
1,3.57
1,3.552
1,3.534
1,3.516
1,3.498
1,3.48
1,3.462
1,3.444
1,3.426
1,3.408
1,3.39
1,3.372
1,3.354
1,3.336
1,3.318
1,3.3
1,3.282
1,3.264
1,3.246
1,3.228
1,3.21
1,3.192
1,3.174
1,3.156
1,3.138
1,3.12
1,3.102
1,3.084
1,3.066
1,3.048
1,3.03
1,3.012
1,2.994
1,2.976
1,2.958
1,2.94
1,2.922
1,2.904
1,2.886
1,2.868
1,2.85
1,2.832
1,2.814
1,2.796
1,2.778
1,2.76
1,2.742
1,2.724
1,2.706
1,2.688
1,2.67
1,2.652
1,2.634
1,2.616
1,2.598
1,2.58
1,2.562
1,2.544
1,2.526
1,2.508
1,2.49
1,2.472
1,2.454
1,2.436
1,2.418
1,2.4
1,2.382
1,2.364
1,2.346
1,2.328
1,2.31
1,2.292
1,2.274
1,2.256
1,2.238
1,2.22
1,2.202
1,2.184
1,2.166
1,2.148
1,2.13
1,2.112
1,2.094
1,2.076
1,2.058
1,2.04
1,2.022
1,2.004
1,1.986
1,1.968
1,1.95
1,1.932
1,1.914
1,1.896
1,1.878
1,1.86
1,1.842
1,1.824
1,1.806
1,1.788
1,1.77
1,1.752
1,1.734
1,1.716
1,1.698
1,1.68
1,1.662
1,1.644
1,1.626
1,1.608
1,1.59
1,1.572
1,1.554
1,1.536
1,1.518
1,1.5
1,1.482
1,1.464
1,1.446
1,1.428
1,1.41
1,1.392
1,1.374
1,1.356
1,1.338
1,1.32
1,1.302
1,1.284
1,1.266
1,1.248
1,1.23
1,1.212
1,1.194
1,1.176
1,1.158
1,1.14
1,1.122
1,1.104
1,1.086
1,1.05
1,1.032
1,1.014
1,0.996
1,0.978
1,0.96
1,0.942
1,0.924
1,0.906
1,0.888
1,0.87
1,0.852
1,0.834
1,0.816
1,0.798
1,0.78
1,0.762
1,0.744
1,0.726
1,0.708
1,0.69
1,0.672
1,0.654
1,0.636
1,0.618
1,0.6
1,0.582
1,0.564
1,0.546
1,0.528
1,0.51
1,0.492
1,0.474
1,0.456
1,0.438
1,0.42
1,0.402
1,0.384
1,0.366
1,0.348
1,0.33
1,0.312
1,0.294
1,0.276
1,0.258
1,0.24
1,0.222
1,0.204
1,0.186
1,0.169
1,0.15
1,0.132
1,0.114
1,0.096
1,0.078
1,0.06
1,0.042
1,0.024
1,0.006
1,-0.012
1,-0.03
1,-0.048
1,-0.066
1,-0.084
1,-0.102
1,-0.12
1,-0.138
1,-0.156
1,-0.174
1,-0.192
1,-0.21
1,-0.228
1,-0.246
1,-0.264
1,-0.282
1,-0.3
1,-0.318
1,-0.336
1,-0.354
1,-0.372
1,-0.39
1,-0.408
1,-0.426
1,-0.444
1,-0.462
1,-0.48
1,-0.498
1,-0.516
1,-0.534
1,-0.552
1,-0.57
1,-0.588
1,-0.606
1,-0.624
1,-0.642
1,-0.66
1,-0.678
1,-0.696
1,-0.714
1,-0.732
1,-0.75
1,-0.768
1,-0.786
1,-0.804
1,-0.822
1,-0.84
1,-0.858
1,-0.876
1,-0.894
1,-0.912
